country,year,year_label,consumption,investment,inventory,government,net_exports,statistical_discrepancy
United States,2021,2021,5.32,1.10,0.29,0.13,-0.89,0.00
United States,2022,2022,1.68,-0.04,0.65,-0.16,-0.36,0.72
United States,2023,2023,1.52,0.11,-0.46,0.74,0.79,0.20
Germany,2021,2021,0.20,0.38,0.92,0.81,0.89,0.00
Germany,2022,2022,2.05,0.05,0.62,0.35,-1.27,0.00
Germany,2023,2023,-0.41,-0.07,-0.38,-0.39,0.95,0.00
Japan,2021,2021,0.52,0.12,0.65,0.55,0.66,0.00
Japan,2022,2022,1.10,0.45,0.05,0.02,-0.62,0.00
Japan,2023,2023,0.38,0.32,-0.21,-0.09,1.50,0.00
India,2021,FY2021-22,6.21,5.12,0.45,0.58,-3.31,0.00
India,2022,FY2022-23,3.94,2.98,0.21,0.01,-0.14,0.00
India,2023,FY2023-24,2.38,3.41,-0.12,0.26,1.66,0.00
