country,year,year_label,consumption,investment,government,exports,imports
United States,2021,2021,8.4,6.2,0.7,6.3,14.5
United States,2022,2022,2.5,-0.2,-0.9,7.0,8.6
United States,2023,2023,2.2,0.6,4.3,2.8,-1.6
Germany,2021,2021,0.4,1.7,3.8,9.7,9.0
Germany,2022,2022,4.1,0.2,1.6,3.3,6.7
Germany,2023,2023,-0.8,-0.3,-1.8,-1.8,-3.0
Japan,2021,2021,1.0,0.5,2.5,11.9,5.2
Japan,2022,2022,2.1,1.8,0.1,5.3,7.9
Japan,2023,2023,0.7,1.3,-0.4,3.2,-1.4
India,2021,FY2021-22,11.2,16.8,5.3,29.3,21.8
India,2022,FY2022-23,6.8,8.9,0.1,13.4,10.6
India,2023,FY2023-24,4.0,10.2,2.5,3.4,10.9
